id,sk,cs,hu
1,Fridrich I. Habsburský,Fridrich I. Habsburský,(III.) Frigyes német király
2,Nulové zariadenie,/dev/null,/dev/null
3,0 (číslo),Nula,0 (szám)
4,1 (číslo),1 (číslo),1 (szám)
5,1 euro,1 euro,1 eurós érme
6,"1,2 - dichlóretán","1,2-dichlorethan","1,2-Diklóretán"
7,"1,4-dioxán","1,4-dioxan","1,4-Dioxán"
8,Linka 1 (parížske metro),1 (linka metra v Paříži),1-es metró (Párizs)
9,Prvý česko-slovenský armádny zbor v ZSSR,1. československý armádní sbor,1. Csehszlovák Hadtest
10,1. FC Lokomotive Leipzig (1966),1. FC Lokomotive Leipzig (1966),1. FC Lokomotive Leipzig
11,1. FC Nürnberg,1. FC Norimberk,1. FC Nürnberg
12,1. FC Union Berlin,1. FC Union Berlín,1. FC Union Berlin
13,1. storočie,1. století,1. század
14,1. tisícročie,1. tisíciletí,1. évezred
15,10 (číslo),10 (číslo),10 (szám)
16,10 Hygiea,Hygiea (planetka),10 Hygiea
17,Linka 10 (parížske metro),10 (linka metra v Paříži),10-es metró (Párizs)
18,10. storočie,10. století,10. század
19,100 (číslo),100 (číslo),100 (szám)
20,1 000 (číslo),1000 (číslo),1000 (szám)
21,1001 Gaussia,Gaussia (planetka),1001 Gaussia
22,1001 Albums You Must Hear Before You Die,"1001 alb, která musíte slyšet, než umřete","1001 lemez, amit hallanod kell, mielőtt meghalsz"
23,1002 Olbersia,Olbersia (planetka),1002 Olbersia
24,101955 Bennu,Bennu (planetka),101955 Bennu
25,1046 Edwin,Edwin (planetka),1046 Edwin
26,11 Parthenope,Parthenope (planetka),11 Parthenope
27,Cesta I. triedy 11 (Slovensko),Silnice I/11 (Slovensko),11-es főút (Szlovákia)
28,Linka 11 (parížske metro),11 (linka metra v Paříži),11-es metró (Párizs)
29,11. storočie,11. století,11. század
30,Projekt 1144 (Orlan),Projekt 1144.2,1144-es tervszámú csatacirkáló
31,1147 Stavropolis,Stavropolis (planetka),1147 Stavropolis
32,1148 Rarahu,Rarahu (planetka),1148 Rarahu
33,1149 Volga,Volga (planetka),1149 Volga
34,1150 Achaia,Achaia (planetka),1150 Achaia
35,1151 Ithaka,Ithaka (planetka),1151 Ithaka
36,1152 Pawona,Pawona (planetka),1152 Pawona
37,12 Victoria,Victoria (planetka),12 Victoria
38,Linka 12 (parížske metro),12 (linka metra v Paříži),12-es metró (Párizs)
39,12. storočie,12. století,12. század
40,1259 Ógyalla,Ógyalla (planetka),1259 Ógyalla
41,Večný spolok,Federální smlouva z roku 1291,1291-es szövetségi levél
42,13 (Black Sabbath),"13 (album, Black Sabbath)",13 (Black Sabbath-album)
43,13 (rozlišovacia stránka),13 (rozcestník),13 (egyértelműsítő lap)
44,13 (číslo),13 (číslo),13 (szám)
45,13 Egeria,Egeria (planetka),13 Egeria
46,13 Reasons Why,Proč? 13x proto,13 okom volt (televíziós sorozat)
47,Cesta I. triedy 13 (Česko),Silnice I/13,13-as főút (Csehország)
48,Cesta I. triedy 13 (Slovensko),Silnice I/13 (Slovensko),13-as főút (Szlovákia)
49,Linka 13 (parížske metro),13 (linka metra v Paříži),13-as metró (Párizs)
50,13. storočie,13. století,13. század
51,APL (planétka),APL (planetka),132524 APL
52,14 Irene,Irene (planetka),14 Irene
53,Linka 14 (parížske metro),14 (linka metra v Paříži),14-es metró (Párizs)
54,14. storočie,14. století,14. század
55,1421 Esperanto,Esperanto (planetka),1421 Esperanto
56,1462 Zamenhof,Zamenhof (planetka),1462 Zamenhof
57,15 Eunomia,Eunomia (planetka),15 Eunomia
58,SIG 33,SIG 33,15 cm schweres Infanteriegeschütz 33
59,15. storočie,15. století,15. század
60,153 Hilda,Hilda (planetka),153 Hilda
61,159 Aemilia,Aemilia (planetka),159 Aemilia
62,16 Psyche,Psyche (planetka),16 Psyche
63,16-bit,16bitový,16 bites architektúra
64,16 blokov,16 bloků,16 utca
65,16. storočie,16. století,16. század
66,Kláštory na svahoch Popocatépetlu,Kláštery na svazích Popocatepetlu,16. századi kolostorok a Popocatépetl lejtőin
67,1691 Oort,Oort (planetka),1691 Oort
