sk_id,cs_id,hu_id
327572,380499,172794
208361,300366,263873
200444,203123,1611754
379595,598007,908832
377615,670092,818841
265593,1015372,157283
249287,155117,844835
161961,187044,105438
73431,159583,156516
249956,107608,49402
250155,354686,1255842
250305,229501,613946
249533,229156,573108
250669,229750,1388414
250688,29495,19466
249709,139606,74233
249710,96420,66100
249708,101742,74234
249711,101745,74235
249713,101747,74236
249716,101748,74237
249717,101749,74238
249725,99730,68749
249908,94989,74240
249910,101750,74242
249911,101753,74243
249918,101794,69557
249919,101795,74244
658332,189279,212048
249924,116904,74245
249926,80273,73721
249928,99867,74246
249935,98802,92430
249940,99865,74247
250286,99862,75492
250287,99833,75494
250289,99857,79031
250297,101796,76743
250298,101799,83259
250622,101800,76744
250640,101802,76745
250646,97923,89336
276232,99679,212038
250649,101803,89337
255990,101805,89338
256173,101806,89340
256174,101809,89341
301656,139704,69558
301657,139985,89342
319919,139988,91556
504552,99687,91552
505043,99454,76750
322257,139993,91557
322258,145289,69803
322259,98747,91595
322260,97990,91598
322261,97779,91555
322262,99700,68822
322263,120469,91599
322264,130276,91600
322265,98194,71100
322266,122665,91601
322267,98158,91602
322268,140023,69542
322269,140002,91603
322270,141169,65259
322271,102357,69616
167042,57387,211816
322272,143631,91604
249720,99233,76749
322273,120463,91605
322274,120471,91607
549445,1049844,1591194
322275,97775,91608
322276,97770,91609
271568,6769,65188
504438,99693,91628
301436,57170,64857
322277,99734,68825
322278,57172,91612
322279,145298,91632
322280,145309,91636
322281,145442,91640
322282,145556,91645
333174,58065,201798
322283,145892,70734
322284,154525,91649
351130,99449,91845
322285,154527,91740
322286,102697,64652
322287,154528,91742
322288,117351,91846
322289,154530,92432
322290,120474,64065
322291,154983,91872
322292,99726,68744
322293,154984,69485
322294,139627,64859
322295,154986,64066
505435,99548,91908
322296,94954,64067
322297,94975,69816
322298,120468,91847
322299,153161,91848
322300,154985,64068
322301,154987,91849
322302,120470,91851
322303,154988,64069
322304,151575,91869
526529,57454,212004
322305,141415,91874
322306,97916,91875
322307,97895,91876
322308,97917,91878
322309,138584,91879
322310,122675,91881
322311,137257,91883
322312,147801,91885
322313,154503,91888
322314,102338,91890
322315,102354,64070
322316,154510,68666
322317,136948,91891
322318,100737,64665
322319,153323,89397
322320,154485,91928
322321,154487,91932
322322,154489,91933
322323,154492,92028
222566,99597,212040
322324,154497,92040
322325,97765,69553
322326,154501,92029
322327,139298,69484
322328,154522,92031
322332,94952,92042
322333,94660,92043
322334,138834,92054
322335,145238,92060
322336,85126,64568
322337,85142,64569
322338,85223,92064
322339,85131,92068
322340,85668,92070
322341,85116,92072
322342,99450,92074
322343,85653,71859
322344,85267,92073
322345,85209,92077
322346,85210,92078
322347,85674,92097
322348,116903,92102
322349,116901,64641
322350,98250,92105
322351,116900,92109
322352,116899,64566
322353,120472,70776
322354,137541,64567
322355,152825,69551
322356,152826,70141
322357,152827,92116
322358,138835,92117
322359,102327,64008
322360,153138,68358
322361,154999,121342
322363,137258,64006
322364,138594,64007
322365,120485,70896
322366,94625,92118
322367,94636,92121
322368,93720,68361
322369,93936,92131
322370,93925,92132
322371,93952,92133
322372,93939,92134
322373,138590,92135
322374,93897,64009
322375,153139,92136
322376,153179,92137
322377,97421,64010
322378,99869,64644
322379,154989,64629
322380,137260,64627
322381,154990,92146
276231,98601,212045
526521,60640,212149
322382,97888,92149
322383,136949,64648
276227,57430,19539
322384,116813,92150
322385,139299,92151
322386,139999,92152
322387,154991,92183
322388,139590,76748
322389,138592,64638
322390,154993,92184
322391,154992,92186
322392,154994,69721
322393,150012,64024
276229,57557,212042
322394,93153,92188
322395,94607,92189
322396,154518,92191
322397,151581,92307
322398,151586,92309
322399,152700,92315
322400,98012,92332
519614,139997,92333
322242,152717,92334
322401,93712,92340
322402,152730,92342
322403,152732,75493
322404,152735,92362
322405,120490,92365
322406,124477,63444
322407,138266,63356
322408,98753,66710
322409,155000,121344
322410,98755,65258
322411,98786,64632
322412,152737,64878
322413,139998,62964
322414,137262,92372
582749,192523,1117046
322415,122917,92374
322416,57448,92376
322417,152739,92378
322418,152744,92380
322419,122666,92382
505434,99550,76747
215256,57175,67038
322421,138585,64643
322420,152765,68355
322422,138588,64642
504497,99552,92394
322423,138586,69651
487587,701499,1591198
322424,94611,64646
487524,98759,92395
322469,154995,92396
596233,986398,1020926
322470,137607,64631
322471,136947,64005
322472,154996,63442
322473,138267,64625
322474,97668,92398
322475,97663,69790
322476,152770,85678
322477,141416,92399
322478,95023,92400
322479,97655,92402
322480,152776,92403
322481,138589,64624
322482,152784,65364
504327,97649,92412
322483,97882,69682
322484,152785,92404
322485,86179,68739
322486,152786,92410
322487,152795,92415
322488,100353,76751
322489,103428,92417
322490,134120,65348
504436,99558,92420
322491,102558,64855
322492,153187,92423
322493,103445,92425
322494,152819,68352
322495,138836,92427
322496,138593,92429
322497,137543,92434
322498,144838,92435
322499,120483,91551
322500,152824,63443
322501,154997,63872
322502,154998,84068
356666,95030,213955
322503,137539,81520
519613,97638,81153
271570,99237,69719
322504,97631,82559
322505,97626,63856
505041,99694,66104
322506,123324,63449
155099,1118118,472324
17592,17315,41886
69358,77704,913233
258744,89712,78120
537801,96480,582345
182184,134909,1107375
77247,19963,41887
252864,337333,1569875
252118,51502,1574852
186146,386923,422644
316114,594374,151798
325960,361764,152632
601015,751991,1448775
600939,751692,1146023
150108,97545,170589
252165,30404,887288
108272,119298,567661
601003,957066,1146032
252353,284761,1115301
318670,630353,151763
4200,2620,5330
10962,2648,1974
252722,30705,1162571
362809,379593,869855
3333,2672,1202
3231,1267,172
12327,2854,1207
168201,499052,1841539
13094,2882,5115
83394,43896,484632
324011,961429,662581
319940,961430,770252
319645,961431,770255
319392,907093,770259
319227,232648,662626
4198,2753,3943
39006,1305,3385
12374,9767,50064
72319,252214,4008
486580,252779,3829
10172,2798,3708
8594,1303,3720
308624,940624,502493
5034,2700,5088
6933,2725,4480
530879,1193811,846803
127471,150287,1378055
219317,41557,214910
252504,48715,432957
252506,48712,433192
252510,48642,434109
252511,48638,1115343
5636,2826,6102
17582,9085,41807
169830,462284,1663796
378084,46566,12016
17598,19954,42167
5016,2627,3510
3198,2140,2037
4461,2679,2431
4470,1276,5103
3253,1433,4068
168620,505069,1841805
3926,2194,4863
10343,2761,4878
65339,1321,4320
65367,16054,72595
525428,252556,3246
9868,2806,5969
3384,2403,4700
8813,2708,1926
7835,2734,4640
3635,2834,3890
17580,17434,62513
366829,102713,78794
492056,636641,1033552
196550,165582,721018
25084,19859,70845
18567,18591,10431
165311,382547,92897
18568,18592,10430
301805,1007423,216154
18569,18593,10429
18570,18594,10427
18571,18595,10425
18572,18596,10423
18573,18597,10422
18574,18598,10421
18575,18599,10420
18576,18600,10419
17682,17440,62514
25083,19858,70847
18577,18601,10418
18578,18602,10417
18579,18603,10416
18580,18604,10415
18581,18605,10414
18582,18606,10413
18583,18607,10412
18584,18608,10411
18585,18609,10410
18586,18610,10409
17683,17441,63935
25082,19857,70848
18587,18611,10408
18588,18630,10407
18589,18631,10406
18590,18632,10405
18591,18633,10404
18592,18634,10403
18593,18635,10402
18594,18636,10401
18595,18637,10400
18596,18638,10399
17684,17442,63934
25081,19856,70849
18597,18639,10398
18598,18640,10397
18599,18641,10396
18600,18642,10395
18601,18643,10394
18602,18644,10393
18603,18645,10392
18604,18646,10391
18605,18647,10390
18606,18648,10389
17685,17443,63007
25080,19855,70889
18607,18649,10388
18608,18650,10387
18609,18651,10349
18610,18652,10348
18611,18653,10347
18612,6475,10346
18613,18654,10344
18614,18655,10342
18615,18656,10340
18616,18657,10331
17686,17444,63933
25079,19854,70890
18617,18658,10284
18618,18659,10283
18619,18660,10282
18620,18661,10281
18621,2228,10280
18622,18662,10247
18623,18663,10244
18624,13780,10243
18625,18664,10242
18626,18665,10241
17687,17445,63932
19308,19853,70957
18627,18666,10240
18628,18667,10239
18629,18679,10238
18630,18681,10237
18631,18683,10236
18632,18684,10235
18633,18687,10231
18634,18688,10229
18635,18690,10228
18636,18691,10227
17688,17446,63931
25078,19852,70958
18637,18693,10226
18638,18694,10225
18639,18695,10224
18640,18696,10223
18641,18697,10221
18642,18698,10183
18643,18699,10182
18644,18701,10181
18645,18703,10133
3804,18704,10132
17689,17447,63930
25077,19851,70959
18646,18706,10131
18647,18709,10130
18648,18710,10129
18649,18712,10128
18650,18714,10075
18651,18716,10074
18652,18718,10073
18653,18719,10072
14299,18721,10071
14300,18724,10069
17690,17448,63929
25076,19850,70960
14301,18726,10068
13505,18727,10067
14295,18730,10066
14296,18731,10061
14297,18733,10060
14298,18736,10059
14290,18738,10051
14291,18740,10050
14292,18742,10049
14293,18745,10048
554800,286084,1506928
17583,9086,41806
69858,81329,1686918
25167,19953,42169
7806,2628,5697
9641,2657,4000
4484,2680,2432
8000,1282,5132
4191,2863,3492
168628,505070,1841810
3915,2889,5873
5102,2762,4899
65340,1320,2316
65368,38200,72597
3227,2807,3913
8801,2404,1412
11381,2709,5076
9177,2735,4621
10977,2835,3643
17691,17449,63928
25075,19849,70983
14294,18747,10034
12070,17298,10040
12071,17299,10041
12072,17300,10042
12073,17301,10043
12074,17302,10044
12075,17303,10045
12076,17304,10046
12077,17305,10047
12078,17306,10039
17692,17452,63927
25074,19848,70984
12079,17307,10038
12080,18614,10033
12081,18615,10032
12082,18616,10031
12083,18617,10029
12084,18618,10028
12085,18619,10027
12086,18620,9981
12087,18621,9980
12088,18622,9979
17693,17453,63926
25073,19847,70985
12089,18623,9978
12090,18624,9977
12091,18625,9893
12092,18626,9892
12093,18627,9891
12094,6476,10037
12095,18669,9865
12096,18670,9864
12097,18671,9863
12098,18672,9826
17694,17454,63924
25072,19846,70996
12099,18673,9825
12100,18674,9824
12101,18675,9823
12102,18677,9822
12103,18676,9821
12104,18678,9819
12105,18680,9818
12106,18682,9817
12107,18685,9815
12108,18689,9814
17695,17455,63923
25071,19845,70997
12109,18686,9813
12110,18692,9812
3805,18700,9811
12111,18702,9810
12112,18705,9809
12113,18707,9805
12114,18708,9804
12115,18711,9803
12116,18713,9802
12117,18715,9801
17696,17456,63922
25070,19844,70998
12118,18717,9800
12119,18720,9799
12121,18722,9798
12122,18723,9797
12123,18725,9796
12124,9948,9795
12125,18728,9794
12126,18729,9792
12127,7221,9791
12128,18732,9790
17697,17457,63921
25069,19843,70999
12129,18734,9684
12130,18735,9683
12131,18737,9195
12141,18739,9682
12133,18741,9681
12134,18743,9680
12135,18744,9679
12136,18746,9678
12137,18748,9520
12138,18749,9519
5057,17458,63920
25068,19842,71000
12139,18750,9518
12140,18751,9517
12142,18752,9516
12171,18753,9515
12143,18754,9514
12144,18755,9513
12145,18756,9512
12147,18757,9511
12148,18758,9501
12149,18760,9500
17698,17459,63919
25067,19841,71001
12150,18759,9422
12151,18761,9421
12152,18762,9419
12153,18763,9418
12154,18764,9417
12155,18765,9416
12156,18766,9415
12157,18767,9414
12158,18768,9413
12159,18769,9085
17699,17460,63918
25066,19840,71002
12160,18770,9083
12161,18771,9082
12162,18772,9081
12163,18773,9080
12164,18774,9079
12165,18775,9078
12166,18776,8945
12167,18777,8944
12168,10708,8943
12169,18778,8942
17584,9087,41805
170278,462495,1690897
25166,19952,42171
249615,233015,1789797
9601,2629,5709
10344,1377,5787
14014,2681,2433
8032,1283,5135
4983,2864,5846
168737,505071,1841815
3894,2890,3542
5099,2763,4487
10393,1317,4518
65369,38201,72790
12699,2808,4482
3797,2405,5271
4984,2710,5075
10256,2736,4605
14028,2836,6466
17700,17461,63917
25065,19839,71180
12172,18780,8388
11970,10578,8389
11971,10579,8390
11972,10583,8391
11973,10584,4129
11974,10585,8392
11975,10592,8393
11976,11637,8394
11977,11902,8395
11978,11903,8396
3174,17464,63916
25064,19838,71181
11979,11904,8871
11980,11905,8872
11981,1422,8873
11983,12434,8953
11982,12436,8954
11984,12437,8955
11985,12439,8956
11986,12784,8957
11987,12785,8958
11988,12786,8959
17701,17465,63915
25063,19837,71182
11989,12787,8364
11990,12788,8363
11991,12789,4328
11992,12790,8365
11993,12791,8366
11994,12792,8367
11995,12793,8368
11996,12794,4309
11997,12795,8369
11998,12796,8370
17702,17466,63914
25062,19836,71183
11999,11638,8371
12000,12797,8372
12001,12798,8373
12002,12799,8374
12003,12800,8960
12004,12801,8961
12005,12802,8962
12006,12803,8964
12007,12804,8965
12008,12805,8966
17703,17467,63913
25061,19835,71184
12009,12806,8981
12010,12807,8982
12011,12808,8983
12012,12809,8984
12013,12810,8985
12014,12812,8986
12015,12813,8987
12016,12814,8988
12017,12815,8989
12018,12816,8992
17704,17468,63912
25060,19834,71185
12019,12817,8996
12020,12818,8997
12021,12819,8998
12022,12811,8999
12023,11552,9000
12024,11890,9001
12025,11891,9002
12026,11892,9021
12027,11893,9022
12028,11895,9023
17705,17469,63911
25059,19833,71186
12029,11897,9497
12030,11898,9496
12031,11899,9494
12032,11900,9493
12033,11901,9492
12034,11618,9491
12035,11622,9490
12036,11624,9489
12037,11625,9487
12038,11627,9486
17706,17470,63910
25058,19832,71187
12039,11628,9485
12040,11629,9484
12041,11630,9483
12042,11631,9482
3172,11566,9481
12043,11632,9480
12044,11633,9441
12045,11634,9440
12046,10593,9439
12047,11635,9438
17707,17472,63909
25057,19831,71188
12048,11636,9435
12049,10913,9434
12050,10912,9433
12051,10911,9432
12052,10910,9431
12053,10909,9359
12054,10908,9357
12055,10907,9356
12056,10906,9355
12057,10713,9353
17708,17473,63908
25056,19830,71189
12058,10712,9352
12059,10711,9351
12060,6867,9350
12061,10710,9349
12062,10709,9348
12063,9935,9347
12064,6928,9346
12065,10667,9345
12066,10666,9344
12067,10665,9343
17585,9089,41804
488721,872579,1027442
170284,77682,1691025
317876,562395,1027630
588653,369431,78381
25165,19951,42175
10259,2630,5720
10193,2658,4052
9646,2682,2436
8035,1284,3879
4982,2865,6957
168816,513953,1841589
11471,2891,1107
142541,102373,1026540
6862,1369,3851
10392,1316,4145
65370,38188,75462
10089,2809,3743
8923,2406,1968
4493,2139,3833
13506,2737,4601
13428,2837,3717
17709,17474,63907
25055,19829,71190
12068,10664,9342
11870,10428,9341
11871,10431,9340
11872,10552,9337
11873,6205,9294
11874,10554,9293
11875,10555,9292
11876,10292,9291
11877,10556,9290
11878,10557,9289
17710,17495,63905
25054,19828,71191
11879,10158,9287
11880,10159,9286
7544,10566,9285
11881,6186,9284
11882,10568,9283
11883,10571,9282
11884,6620,9281
11885,10572,9280
11886,10574,9279
11887,10558,9278
17711,17498,63903
3343,19827,71192
11888,6831,9277
11889,10550,9276
11890,10562,9275
11891,10293,6945
11892,10575,9273
6857,10576,9274
11893,6901,8946
11894,10563,9270
11895,9929,9271
11896,10285,9272
17712,17499,63901
25053,19826,71193
11897,6841,9269
11898,10551,9268
11899,10561,9267
11900,6096,9266
11901,10560,9265
11902,9941,9264
11903,10559,9263
11904,6829,9262
11905,10291,9261
11906,10290,9243
17713,17500,63899
25052,19825,71194
11907,10289,9242
11908,10278,9241
11909,10157,9240
11910,10156,9239
11911,9938,9238
11912,9953,9237
11913,6929,9236
11914,8467,9235
11915,2349,9230
11916,8468,9229
17714,17501,63898
25051,19824,71195
11917,6129,9200
11918,8470,8918
11919,4648,8917
11920,8472,8852
11921,10121,9086
11922,9933,9087
11923,10120,9088
11924,10155,9089
11925,10152,9090
11926,10154,9091
17715,17502,63895
25050,19823,71196
11927,9952,9199
11928,10153,9201
11929,10119,9219
11930,10118,9221
11931,6171,9222
11932,9951,9223
11933,9930,9225
